name;date;time;title;parent;semiidle;keys;lmb;rmb;scrollwheel
Pawel;2021-01-01;01:54:40;firefox;50%;29%;323;422;NA;1558
Pawel;2021-01-01;00:57:35;hl2 - Team Fortress 2;25%;NA;9802;774;243;303
Pawel;2021-01-01;00:23:10;rocketleague - Rocket League (64-bit, DX11, Cooked);10%;NA;19;8;1;113
Pawel;2021-01-01;00:12:25;spotify;5%;80%;1;30;1;NA
Pawel;2021-01-01;00:09:35;discord;4%;59%;12;41;2;37
Pawel;2021-01-02;03:28:00;firefox;71%;21%;4034;1108;3;4507
Pawel;2021-01-02;00:48:35;matlab - MATLAB R2020b - academic use;16%;18%;1867;154;NA;477
Pawel;2021-01-02;00:12:40;spotify;4%;90%;7;6;NA;NA
Pawel;2021-01-02;00:12:30;explorer;4%;48%;39;121;NA;58
Pawel;2021-01-02;00:05:50;mspaint;1%;NA;299;125;NA;97
Pawel;2021-01-02;00:01:25;discord;0%;23%;3;17;NA;8
Pawel;2021-01-02;00:01:15;microsoft.photos;0%;6%;1;7;NA;NA
Pawel;2021-01-02;00:00:20;teams;0%;NA;NA;1;NA;4
Pawel;2021-01-03;01:45:05;firefox;44%;37%;338;308;1;1636
Pawel;2021-01-03;01:05:30;hl2 - Team Fortress 2;27%;NA;10188;797;290;314
Pawel;2021-01-03;00:35:20;rocketleague - Rocket League (64-bit, DX11, Cooked);14%;NA;20;17;NA;446
Pawel;2021-01-03;00:07:50;discord;3%;23%;42;35;NA;36
Pawel;2021-01-03;00:05:35;spotify;2%;79%;NA;14;NA;NA
Pawel;2021-01-04;04:27:50;Genshin Impact;57%;0%;1;41;NA;NA
Pawel;2021-01-04;02:18:40;firefox;29%;40%;270;372;1;738
Pawel;2021-01-04;00:23:20;spotify;5%;82%;11;24;NA;16
Pawel;2021-01-04;00:21:35;rocketleague - Rocket League (64-bit, DX11, Cooked);4%;NA;12;13;NA;112
Pawel;2021-01-04;00:08:20;explorer;1%;50%;12;38;NA;120
Pawel;2021-01-04;00:02:15;discord;0%;3%;2;18;1;24
Pawel;2021-01-05;03:41:40;firefox;58%;22%;1347;1123;6;4788
Pawel;2021-01-05;01:21:55;idea64 - the-analysis-of-wiki [C: - Users - Speak - IdeaProjects - the-analysis-of-wiki - ... - src;20%;1%;1872;742;11;1381
Pawel;2021-01-05;00:25:05;rocketleague - Rocket League (64-bit, DX11, Cooked);6%;NA;16;7;NA;92
Pawel;2021-01-05;00:13:20;discord;3%;36%;18;78;1;215
Pawel;2021-01-05;00:09:45;spotify;2%;73%;7;25;NA;7
Pawel;2021-01-05;00:09:05;explorer;2%;36%;92;55;2;191
Pawel;2021-01-05;00:08:35;java - Wiki-stat;2%;8%;16;57;NA;415
Pawel;2021-01-05;00:07:15;inkscape - *muffin.svg - Inkscape;1%;NA;123;165;4;48
Pawel;2021-01-05;00:00:05;microsoft.photos;0%;NA;NA;2;NA;NA
Pawel;2021-01-06;02:08:00;firefox;45%;27%;158;502;7;2269
Pawel;2021-01-06;00:50:50;hl2 - Team Fortress 2;18%;NA;7430;555;196;700
Pawel;2021-01-06;00:48:05;Genshin Impact;17%;NA;NA;3;NA;NA
Pawel;2021-01-06;00:22:45;rocketleague - Rocket League (64-bit, DX11, Cooked);8%;NA;12;7;NA;177
Pawel;2021-01-06;00:14:55;discord;5%;61%;6;41;NA;49
Pawel;2021-01-06;00:12:45;spotify;4%;72%;NA;14;NA;7
Pawel;2021-01-06;00:00:05;microsoft.photos;0%;NA;NA;2;NA;NA
Pawel;2021-01-07;02:51:40;firefox;48%;37%;340;477;2;2942
Pawel;2021-01-07;01:08:10;mspaint;19%;50%;324;252;NA;82
Pawel;2021-01-07;00:44:55;teams;12%;66%;23;83;NA;414
Pawel;2021-01-07;00:27:45;rocketleague - Rocket League (64-bit, DX11, Cooked);7%;NA;1;18;NA;NA
Pawel;2021-01-07;00:23:40;spotify;6%;85%;1;32;NA;38
Pawel;2021-01-07;00:07:50;discord;2%;38%;9;51;2;84
Pawel;2021-01-07;00:05:35;explorer;1%;50%;NA;16;NA;86
Pawel;2020-12-20;01:51:30;firefox;61%;16%;781;714;8;2241
Pawel;2020-12-20;00:55:00;matlab - MATLAB R2020b - academic use;29%;9%;2010;314;NA;263
Pawel;2020-12-20;00:05:55;teams;3%;59%;3;10;NA;6
Pawel;2020-12-21;02:31:55;firefox;45%;33%;421;621;7;3167
Pawel;2020-12-21;01:20:40;Genshin Impact;24%;NA;NA;16;NA;6
Pawel;2020-12-21;00:37:35;teams;11%;52%;35;73;NA;282
Pawel;2020-12-21;00:36:00;rstudio;10%;6%;1592;422;NA;271
Pawel;2020-12-21;00:10:10;spotify;3%;71%;4;41;1;9
Pawel;2020-12-22;04:09:35;firefox;62%;26%;520;932;7;4543
Pawel;2020-12-22;00:39:50;teams;10%;39%;505;125;NA;204
Pawel;2020-12-22;00:35:50;rocketleague - Rocket League (64-bit, DX11, Cooked);9%;NA;65;20;NA;294
Pawel;2020-12-22;00:31:20;Genshin Impact;7%;0%;2;14;NA;NA
Pawel;2020-12-22;00:11:25;spotify;2%;69%;14;43;NA;12
Pawel;2020-12-22;00:07:25;microsoft.photos;1%;57%;1;3;NA;5
Pawel;2020-12-22;00:06:55;discord;1%;7%;95;96;NA;50
Pawel;2020-12-23;02:46:25;firefox;36%;7%;771;751;NA;2884
Pawel;2020-12-23;01:45:10;Genshin Impact;22%;0%;NA;5;NA;NA
Pawel;2020-12-23;00:49:30;rocketleague - Rocket League (64-bit, DX11, Cooked);10%;NA;53;78;NA;281
Pawel;2020-12-23;00:35:10;spotify;7%;85%;26;67;1;NA
Pawel;2020-12-23;00:29:25;teams;6%;29%;54;161;NA;465
Pawel;2020-12-23;00:17:10;explorer;3%;43%;25;117;1;124
Pawel;2020-12-23;00:16:15;chrome - cwiczenia2312.drawio - diagrams.net - Google Chrome;3%;3%;211;236;1;272
Pawel;2020-12-23;00:12:35;steamwebhelper - Lista znajomych;1%;70%;1;16;NA;13
Pawel;2020-12-23;00:12:05;java - Wiki-stat;2%;35%;7;48;1;9
Pawel;2020-12-23;00:06:50;discord;1%;19%;100;43;NA;66
Pawel;2020-12-24;03:07:05;rstudio;34%;6%;4967;1961;2;3161
Pawel;2020-12-24;02:50:05;Genshin Impact;31%;NA;1;17;NA;NA
Pawel;2020-12-24;02:11:30;firefox;24%;21%;842;682;1;1388
Pawel;2020-12-24;00:15:25;discord;2%;45%;2;56;1;196
Pawel;2020-12-24;00:12:30;excel - Microsoft Excel;2%;NA;8;172;1;471
Pawel;2020-12-24;00:09:45;explorer;1%;58%;68;54;4;10
Pawel;2020-12-24;00:07:15;spotify;1%;78%;1;23;NA;3
Pawel;2020-12-24;00:00:25;teams;0%;NA;13;7;NA;NA
Pawel;2020-12-25;02:12:50;firefox;41%;41%;463;560;4;835
Pawel;2020-12-25;01:08:45;Genshin Impact;21%;4%;2;2;NA;NA
Pawel;2020-12-25;00:48:20;cyberpunk2077 - Cyberpunk 2077 (C) 2020 by CD Projekt RED;15%;NA;3447;149;9;355
Pawel;2020-12-25;00:23:00;rocketleague - Rocket League (64-bit, DX11, Cooked);7%;NA;24;25;NA;46
Pawel;2020-12-25;00:13:35;spotify;4%;76%;3;29;NA;NA
Pawel;2020-12-25;00:07:05;explorer;2%;37%;42;92;NA;35
Pawel;2020-12-25;00:06:00;microsoft.photos;1%;NA;401;9;NA;NA
Pawel;2020-12-25;00:00:15;teams;0%;NA;NA;3;NA;10
Pawel;2020-12-26;02:16:40;firefox;44%;31%;427;481;2;2065
Pawel;2020-12-26;01:41:05;Genshin Impact;32%;NA;2;5;NA;8
Pawel;2020-12-26;00:37:30;rocketleague - Rocket League (64-bit, DX11, Cooked);12%;NA;19;20;NA;566
Pawel;2020-12-26;00:11:15;discord;3%;12%;13;52;NA;130
Pawel;2020-12-26;00:07:05;spotify;2%;76%;2;24;NA;4
